appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
7010,Project: Snowblind,2007-03-29,1,Crystal Dynamics,Square Enix,windows,0,Single-player;Multi-player,Action,Action;FPS;Cyberpunk,0,175,61,0,0,50000-100000,3.99
7200,Trackmania United Forever Star Edition,2008-04-16,1,Nadeo,Ubisoft,windows,0,Single-player;Multi-player;Includes level editor,Racing,Racing;Multiplayer;Level Editor,0,963,55,4774,4774,100000-200000,25.99
8080,Kane and Lynch: Dead Men™,2007-12-13,1,IO Interactive,Square Enix,windows,0,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support,Action,Action;Third-Person Shooter;Crime,0,1223,724,209,209,200000-500000,4.99
8100,Conflict: Denied Ops,2008-02-08,1,Pivotal Games,Square Enix,windows,0,Single-player,Action,Action;FPS;Singleplayer,0,89,103,0,0,50000-100000,3.99
8140,Tomb Raider: Underworld,2008-11-21,1,Crystal Dynamics,Square Enix,windows,16,Single-player,Action;Adventure,Adventure;Action;Female Protagonist,0,1779,594,313,565,500000-1000000,6.99
8170,Battlestations Pacific,2009-05-13,1,Eidos Studio Hungary,Square Enix,windows,0,Single-player;Multi-player;Partial Controller Support,Action;Strategy,World War II;Strategy;Action,0,1028,542,132,132,200000-500000,6.99
8190,Just Cause 2,2010-03-23,1,Avalanche Studios,Square Enix,windows,18,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Open World;Action;Sandbox,50,33636,3231,519,272,2000000-5000000,9.99
8400,Geometry Wars: Retro Evolved,2007-06-18,1,Bizarre Creations,Activision,windows,0,Single-player;Full controller support,Casual,Arcade;Twin Stick Shooter;Casual,0,583,62,109,109,100000-200000,2.99
9200,RAGE,2011-10-03,1,id Software,Bethesda Softworks,windows,16,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support,Action,FPS;Post-apocalyptic;Action,60,9394,2882,559,392,1000000-2000000,7.99
9350,Supreme Commander,2011-09-28,1,Gas Powered Games,Square Enix,windows,0,Single-player;Multi-player,Strategy,Strategy;RTS;Sci-fi,0,1065,162,306,306,1000000-2000000,8.99
9420,Supreme Commander: Forged Alliance,2011-09-28,1,Gas Powered Games,Square Enix,windows,0,Single-player;Multi-player,Strategy,Strategy;RTS;Sci-fi,0,4969,174,803,1067,1000000-2000000,8.99
10090,Call of Duty: World at War,2008-11-18,1,Treyarch,Activision,windows,16,Single-player;Multi-player;Co-op,Action,Zombies;World War II;FPS,0,19595,1483,2331,1108,1000000-2000000,19.99
10100,King's Quest™ Collection,2009-07-23,1,Sierra,Activision,windows,0,Single-player,Adventure,Adventure;Point & Click;Classic,0,125,32,10,19,100000-200000,14.99
10110,Space Quest™ Collection,2009-07-23,1,Sierra,Activision,windows,0,Single-player,Adventure,Adventure;Point & Click;Classic,0,143,42,10,10,100000-200000,9.99
10120,Aces of the Galaxy™,2009-07-23,1,Artech Studios,Activision,windows,0,Single-player,Action;Casual,Action;Casual;Space,0,14,16,0,0,0-20000,6.99
10130,TimeShift™,2009-07-23,1,Saber Interactive,Activision,windows,0,Single-player;Multi-player,Action,Action;FPS;Time Manipulation,0,623,159,0,0,100000-200000,9.99
10140,3D Ultra™ Minigolf Adventures,2009-07-23,1,Wanako Games,Activision,windows,0,Single-player,Sports,Sports;Mini Golf;Golf,0,50,28,0,0,0-20000,6.99
10150,Prototype™,2009-06-12,1,Radical Entertainment,Activision,windows,0,Single-player,Action;Adventure,Action;Open World;Adventure,0,3702,904,645,1001,500000-1000000,14.99
11020,TrackMania Nations Forever,2008-04-16,1,Nadeo,Ubisoft,windows,0,Single-player;Multi-player;Includes level editor,Racing,Racing;Free to Play;Multiplayer,0,8252,1244,902,87,2000000-5000000,0.0
12100,Grand Theft Auto III,2008-01-04,1,Rockstar Games,Rockstar Games,windows,18,Single-player;Partial Controller Support,Action,Open World;Action;Classic,0,4718,750,98,63,1000000-2000000,5.99
12110,Grand Theft Auto: Vice City,2011-01-10,1,Rockstar Games,Rockstar Games,windows,18,Single-player;Partial Controller Support,Action,Open World;Action;1980s,0,9817,819,209,93,2000000-5000000,5.99
12120,Grand Theft Auto: San Andreas,2008-01-04,1,Rockstar Games,Rockstar Games,windows,18,Single-player,Action,Open World;Action;Multiplayer,0,26877,3243,807,249,2000000-5000000,9.99
12130,Manhunt,2008-01-04,1,Rockstar North,Rockstar Games,windows,18,Single-player,Action,Gore;Violent;Stealth,0,816,433,99,101,200000-500000,5.99
12140,Max Payne,2008-01-04,1,Remedy Entertainment,Rockstar Games,windows,18,Single-player,Action,Noir;Action;Classic,0,3926,435,316,316,500000-1000000,5.99
12150,Max Payne 2: The Fall of Max Payne,2008-01-04,1,Remedy Entertainment,Rockstar Games,windows,18,Single-player,Action,Noir;Action;Third-Person Shooter,0,2506,172,175,175,500000-1000000,5.99
12170,Grand Theft Auto,2008-01-04,1,Rockstar North,Rockstar Games,windows,0,Single-player,Action,Action;Classic;Open World,0,199,30,7,7,500000-1000000,0.0
12180,Grand Theft Auto 2,2008-01-04,1,Rockstar North,Rockstar Games,windows,0,Single-player,Action,Action;Classic;Open World,0,184,17,3,4,500000-1000000,0.0
12200,Bully: Scholarship Edition,2008-10-21,1,Rockstar New England,Rockstar Games,windows,0,Single-player;Partial Controller Support,Action;Adventure,Open World;Action;Adventure,0,8504,1764,319,225,1000000-2000000,9.99
12210,Grand Theft Auto IV,2008-12-02,1,Rockstar North;Rockstar Toronto,Rockstar Games,windows,0,Single-player;Multi-player;Partial Controller Support,Action;Adventure,Open World;Action;Bowling,0,35240,18926,1255,634,2000000-5000000,19.99
12220,Grand Theft Auto: Episodes from Liberty City,2010-04-12,1,Rockstar North / Toronto,Rockstar Games,windows,18,Single-player;Multi-player,Action,Open World;Action;Multiplayer,0,6401,2345,508,112,2000000-5000000,14.99
13500,Prince of Persia: Warrior Within™,2009-08-27,1,Ubisoft,Ubisoft,windows,0,Single-player,Action;Adventure,Action;Adventure;Parkour,0,657,101,307,312,200000-500000,8.59
13520,Far Cry®,2008-04-01,1,Crytek Studios,Ubisoft,windows,0,Single-player,Action,FPS;Action;Classic,0,3099,609,126,229,500000-1000000,8.59
13530,Prince of Persia: The Two Thrones™,2009-08-27,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Platformer,0,365,109,205,205,200000-500000,8.59
13540,Tom Clancy's Rainbow Six® Vegas,2008-04-09,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player;Multi-player,Action,Action;FPS;Tactical,0,371,106,0,0,200000-500000,8.59
13560,Tom Clancy's Splinter Cell®,2008-04-01,1,Ubisoft,Ubisoft,windows,0,Single-player,Action,Stealth;Action;Third Person,0,900,147,28,28,200000-500000,4.29
13570,Tom Clancy's Splinter Cell Chaos Theory®,2009-08-27,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player,Action,Stealth;Action;Third Person,0,1777,140,22,22,200000-500000,8.59
13580,Tom Clancy's Splinter Cell Double Agent®,2009-02-13,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player,Action,Stealth;Action;Third Person,0,356,454,0,0,200000-500000,8.59
13600,Prince of Persia®: The Sands of Time,2009-08-27,1,Kudosoft,Ubisoft,windows,0,Single-player,Action;Adventure,Action;Adventure;Parkour,0,831,122,167,167,200000-500000,8.59
13620,Tom Clancy's Ghost Recon® Desert Siege™,2008-07-15,1,Red Storm Entertainment,Ubisoft,windows,0,Single-player;Multi-player,Action,Action;FPS;Tactical,0,34,2,2,2,100000-200000,4.29
15000,Tom Clancy's Rainbow Six Lockdown™,2009-08-27,1,Red Storm Entertainment,Ubisoft,windows,0,Single-player;Multi-player,Action,Action;FPS;Tactical,0,80,79,20,20,100000-200000,4.29
15080,Rayman Raving Rabbids™,2008-06-13,1,Ubisoft Bulgaria;Ubisoft Montpellier,Ubisoft,windows,0,Single-player,Action;Adventure,Adventure;Action;Psychological Horror,0,239,80,29,29,20000-50000,4.29
15100,Assassin's Creed™: Director's Cut Edition,2008-04-09,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Open World,0,5743,1162,360,476,500000-1000000,8.59
15120,Tom Clancy's Rainbow Six® Vegas 2,2008-04-16,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player;Multi-player;Co-op,Action,Action;Tactical;FPS,0,2582,456,1349,1936,500000-1000000,8.59
15130,Beyond Good and Evil™,2008-05-13,1,Ubisoft,Ubisoft,windows,0,Single-player,Action;Adventure,Adventure;Female Protagonist;Action,0,1823,186,355,448,200000-500000,4.29
15160,Petz® Horsez® 2,2009-08-27,1,Ubisoft,Ubisoft,windows,0,Single-player,Simulation,Simulation;Horses;Family Friendly,0,76,38,0,0,0-20000,4.29
15170,Heroes of Might & Magic V,2008-05-13,1,Nival,Ubisoft,windows,0,Single-player,Strategy,Strategy;Turn-Based Strategy;Fantasy,0,1258,183,396,396,200000-500000,8.59
15190,Brothers in Arms: Road to Hill 30™,2008-05-13,1,Gearbox Software,Ubisoft,windows,0,Single-player,Action,Action;FPS;World War II,0,624,100,69,69,100000-200000,4.29
15200,Silent Hunter®: Wolves of the Pacific,2009-08-27,1,Ubisoft Romania,Ubisoft,windows,0,Single-player;Multi-player,Simulation,Simulation;Submarine;World War II,0,234,128,134,134,50000-100000,8.59
15210,Silent Hunter® III,2008-06-13,1,Ubisoft,Ubisoft,windows,0,Single-player;Multi-player;Co-op,Simulation,Simulation;Naval;World War II,0,685,113,0,0,100000-200000,4.29
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2009-08-27,1,Ubisoft Romania,Ubisoft,windows,0,Single-player;Multi-player,Simulation,Simulation;Submarine;World War II,0,70,24,0,0,50000-100000,4.29
15270,Cold Fear™,2008-05-13,1,Darkworks,Ubisoft,windows,0,Single-player,Action,Horror;Action;Survival Horror,0,272,40,0,0,20000-50000,4.29
15300,Tom Clancy's Ghost Recon®,2008-07-15,1,Red Storm Entertainment,Ubisoft,windows,0,Single-player;Co-op,Action,Tactical;FPS;Action,0,536,45,476,476,100000-200000,8.59
15370,Heroes of Might & Magic V: Tribes of the East,2008-10-10,1,Nival,Ubisoft,windows,0,Single-player,Strategy,Strategy;Turn-Based Strategy;Turn-Based,0,759,66,6679,6679,200000-500000,8.59
15380,Heroes of Might & Magic V: Hammers of Fate,2008-10-10,1,Nival,Ubisoft,windows,0,Single-player,Strategy,Strategy;Turn-Based Strategy;Turn-Based,0,84,21,19,19,200000-500000,8.59
15390,Brothers in Arms: Hell's Highway™,2008-10-08,1,Gearbox Software,Ubisoft,windows,0,Single-player,Action,Action;World War II;FPS,0,823,98,346,346,100000-200000,8.59
17300,Crysis,2008-09-17,1,Crytek,Electronic Arts,windows,0,Single-player,Action,FPS;Action;Sci-fi,0,6075,1277,313,105,1000000-2000000,9.99
17330,Crysis Warhead®,2008-09-17,1,Crytek,Electronic Arts,windows,0,Single-player,Action,Action;FPS;Sci-fi,0,1694,312,18,29,500000-1000000,7.99
17390,SPORE™,2008-12-19,1,Maxis™,Electronic Arts,windows,0,Single-player,Simulation,Simulation;Sandbox;Open World,0,15101,2014,1142,764,2000000-5000000,14.99
17410,Mirror's Edge™,2009-01-14,1,DICE,Electronic Arts,windows,0,Single-player;Full controller support;Partial Controller Support,Action;Adventure,Parkour;First-Person;Action,0,17880,2341,260,172,2000000-5000000,9.99
17430,Need for Speed Undercover,2008-12-19,1,EA Black Box,Electronic Arts,windows,0,Single-player;Multi-player;Partial Controller Support,Action;Racing,Racing;Open World;Multiplayer,0,2351,1081,916,1046,200000-500000,9.99
17440,SPORE™ Creepy & Cute Parts Pack,2008-12-19,1,Maxis™,Electronic Arts,windows,0,Single-player,Simulation,Simulation;Adventure;Open World,0,481,100,171,240,500000-1000000,9.99
17450,Dragon Age: Origins,2009-11-05,1,BioWare,Electronic Arts,windows,0,Single-player,RPG,RPG;Fantasy;Story Rich,0,6207,468,2061,2889,500000-1000000,14.99
17460,Mass Effect,2008-12-19,1,BioWare,Electronic Arts,windows,0,Single-player,Action;RPG,RPG;Sci-fi;Story Rich,0,10107,666,612,633,1000000-2000000,7.99
17470,Dead Space,2009-01-09,1,EA Redwood Shores,Electronic Arts,windows,0,Single-player;Full controller support,Action,Horror;Action;Sci-fi,0,9136,1049,295,178,2000000-5000000,14.99
17480,Command & Conquer: Red Alert 3,2009-01-08,1,EA Los Angeles,Electronic Arts,windows,0,Single-player,Strategy,Strategy;RTS;Base-Building,0,4390,855,575,395,500000-1000000,9.99
18040,DeathSpank,2010-10-25,1,Hothead Games,Electronic Arts,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,RPG;Action;Indie,12,540,34,1008,1008,100000-200000,7.99
18050,DeathSpank: Thongs of Virtue,2010-11-30,1,Hothead Games,Electronic Arts,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;RPG;Indie,Action;RPG;Indie,13,125,18,0,0,50000-100000,7.99
19800,Brothers in Arms: Earned in Blood™,2008-10-10,1,Gearbox Software,Ubisoft,windows,0,Single-player,Action,Action;FPS;World War II,0,303,53,164,164,100000-200000,4.29
19830,Tom Clancy's Rainbow Six® 3 Gold,2008-09-25,1,Red Storm Entertainment;Ubisoft Montreal,Ubisoft,windows,0,Single-player,Action,Tactical;FPS;Action,0,811,71,43,61,100000-200000,4.29
19900,Far Cry® 2: Fortune's Edition,2008-10-22,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player;Multi-player,Action,Open World;FPS;Action,0,5292,1739,257,229,1000000-2000000,8.59
19980,Prince of Persia®,2008-12-10,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player,Action;Adventure,Action;Adventure;Platformer,0,948,266,305,399,200000-500000,8.59
21640,Flock!,2009-04-07,1,Proper Games,Capcom,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support,Casual;Strategy,Strategy;Casual;Puzzle,13,110,34,0,0,20000-50000,3.49
21660,Street Fighter® IV,2009-07-07,1,Capcom,Capcom,windows,0,Single-player;Multi-player;Partial Controller Support,Action,Fighting;Action;Arcade,0,295,126,0,0,100000-200000,13.99
21670,Bionic Commando,2009-07-28,1,Capcom,Capcom,windows,0,Single-player;Multi-player;Partial Controller Support;Steam Cloud,Action;Adventure,Action;Adventure;Third Person,0,649,247,20,30,200000-500000,6.49
21680,Bionic Commando: Rearmed,2009-07-28,1,Capcom,Capcom,windows,18,Single-player;Shared/Split Screen;Partial Controller Support,Action,Action;Platformer;Remake,0,453,287,15,16,200000-500000,6.49
21690,Resident Evil™ 5/ Biohazard 5®,2009-09-15,1,Capcom,Capcom,windows,18,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure,Action;Zombies;Co-op,70,9250,1618,868,532,1000000-2000000,13.99
21780,Driver® Parallel Lines,2009-02-13,1,Ubisoft Reflections,Ubisoft,windows,0,Single-player,Racing,Racing;Action;Open World,0,367,46,0,0,20000-50000,8.59
21800,Tom Clancy's EndWar™,2009-02-25,1,Ubisoft  Shanghaï,Ubisoft,windows,0,Single-player;Multi-player,Strategy,Strategy;RTS;Tactical,0,276,108,384,655,100000-200000,8.59
21980,Call of Juarez®: Bound in Blood,2009-07-02,1,Techland,Ubisoft,windows,0,Single-player,Action,Western;Action;FPS,0,1121,232,13,13,200000-500000,8.59
22300,Fallout 3,2008-10-28,1,Bethesda Game Studios,Bethesda Softworks,windows,0,Single-player;Partial Controller Support,RPG,Open World;Post-apocalyptic;RPG,0,9921,2709,588,617,500000-1000000,7.99
22310,Rogue Warrior,2009-12-01,1,Rebellion,Bethesda Softworks,windows,0,Single-player;Multi-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action,Action;FPS;Comedy,45,466,240,29,29,50000-100000,3.99
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,2009-06-16,1,Bethesda Game Studios,Bethesda Softworks,windows,0,Single-player;Steam Cloud,RPG,RPG;Open World;Fantasy,0,9571,540,1135,1183,1000000-2000000,12.99
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,2009-06-16,1,Bethesda Game Studios,Bethesda Softworks,windows,0,Single-player;Steam Cloud,RPG,Open World;RPG;Fantasy,0,13827,826,1307,630,1000000-2000000,12.99
22350,BRINK,2011-05-09,1,Splash Damage,Bethesda Softworks,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Free to Play,FPS;Action;Multiplayer,43,3493,2331,181,99,1000000-2000000,0.0
22370,Fallout 3: Game of the Year Edition,2009-12-17,1,Bethesda Game Studios,Bethesda Softworks,windows,0,Single-player,RPG,Open World;RPG;Post-apocalyptic,0,17742,4495,1242,1076,2000000-5000000,14.99
22380,Fallout: New Vegas,2010-10-21,1,Obsidian Entertainment,Bethesda Softworks,windows,18,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;RPG,Open World;RPG;Post-apocalyptic,75,66756,3149,2485,1431,2000000-5000000,7.99
22450,Hunted: The Demon’s Forge™,2011-06-02,1,inXile Entertainment,Bethesda Softworks,windows,0,Partial Controller Support;Steam Cloud,Action;Adventure,Action;Adventure;Third Person,0,498,213,28,28,100000-200000,3.99
23300,Yosumin!™,2009-05-26,1,Square Enix,Square Enix,windows,0,Single-player,Casual,Casual;Puzzle,0,102,64,0,0,100000-200000,3.99
23380,Gyromancer,2009-11-18,1,"Square Enix;PopCap Games, Inc.",Square Enix,windows,0,Single-player,RPG,RPG;Puzzle;Match 3,0,124,113,73,73,100000-200000,3.99
24720,SPORE™ Galactic Adventures,2009-06-26,1,EA - Maxis,Electronic Arts,windows,0,Single-player,Action;Simulation,Simulation;Action;Space,0,1943,453,1905,2286,500000-1000000,9.99
24740,Burnout Paradise: The Ultimate Box,2009-03-12,1,Criterion Games,Electronic Arts,windows,0,Single-player;Multi-player,Racing,Racing;Open World;Multiplayer,0,9739,1487,431,576,1000000-2000000,9.99
24790,Command & Conquer 3: Tiberium Wars,2009-11-13,1,EA Los Angeles,Electronic Arts,windows,0,Single-player,Strategy,Strategy;RTS;Base-Building,0,2292,295,646,693,500000-1000000,9.99
24800,Command & Conquer: Red Alert 3 - Uprising,2009-10-06,1,EA Los Angeles,Electronic Arts,windows,0,Single-player,Strategy,Strategy;RTS;Base-Building,0,1449,362,136,205,1000000-2000000,9.99
24810,Command & Conquer 3: Kane's Wrath,2009-11-13,1,EA Los Angeles,Electronic Arts,windows,0,Single-player;Multi-player,Strategy,Strategy;RTS;Base-Building,0,1070,76,0,0,200000-500000,9.99
24840,Medal of Honor: Airborne,2009-10-06,1,EA Los Angeles,Electronic Arts,windows,0,Single-player;Multi-player,Action,Action;World War II;FPS,0,1725,461,28,28,200000-500000,9.99
24870,Need for Speed: Shift,2009-10-06,1,Slightly Mad Studios,Electronic Arts,windows,0,Single-player;Multi-player,Racing,Racing;Simulation;Multiplayer,0,1101,415,339,456,200000-500000,9.99
24960,Battlefield: Bad Company™ 2,2010-03-02,1,DICE,Electronic Arts,windows,0,Single-player;Multi-player,Action,FPS;Multiplayer;Action,0,23093,3877,1200,671,2000000-5000000,14.99
24980,Mass Effect 2,2010-01-28,1,BioWare,Electronic Arts,windows,0,Single-player,RPG,RPG;Sci-fi;Story Rich,0,10675,542,1087,736,1000000-2000000,19.99
28000,Kane & Lynch 2: Dog Days,2010-08-17,1,IO Interactive,Square Enix,windows,18,Single-player;Multi-player;Co-op;Steam Achievements;Steam Leaderboards,Action,Action;Co-op;Third-Person Shooter,59,2822,1919,282,301,500000-1000000,7.99
33230,Assassin's Creed 2 Deluxe Edition,2010-03-04,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player,Action;Adventure,Action;Open World;Adventure,0,14861,2639,1046,1323,1000000-2000000,8.59
33320,Prince of Persia: The Forgotten Sands™,2010-06-10,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player,Action;Adventure,Action;Adventure;Platformer,0,511,263,328,328,200000-500000,8.59
33390,Zeit²,2011-01-12,1,Brightside Games,Ubisoft,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie,Action;Indie;Shoot 'Em Up,70,26,7,0,0,0-20000,8.59
33460,From Dust,2011-08-17,1,Ubisoft Montpellier,Ubisoft,windows,0,Single-player,Adventure;Simulation,God Game;Simulation;Adventure,0,1356,750,358,399,200000-500000,8.59
34600,Order of War™,2009-09-17,1,Wargaming.net,Square Enix,windows,0,Single-player,Strategy,Strategy;World War II;RTS,0,270,98,319,589,200000-500000,5.99
35000,Mini Ninjas,2009-09-14,1,IO Interactive,Square Enix,windows,0,Single-player,Action;Adventure,Adventure;Action;Ninja,0,1612,270,27,53,200000-500000,7.99
35070,Flora's Fruit Farm,2009-10-01,1,Honeyslug,Square Enix,windows,0,Single-player,Casual,Casual;Agriculture,0,58,28,0,0,50000-100000,2.99
35130,Lara Croft and the Guardian of Light,2010-09-28,1,Crystal Dynamics,Square Enix,windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure,Action;Adventure;Co-op,12,2506,237,42,57,500000-1000000,7.99
38400,Fallout: A Post Nuclear Role Playing Game,2015-11-01,1,Interplay Inc.,Bethesda Softworks,windows,16,Single-player;Steam Cloud,RPG,RPG;Post-apocalyptic;Classic,0,6983,643,93,49,1000000-2000000,7.99
38410,Fallout 2: A Post Nuclear Role Playing Game,2009-08-19,1,Black Isle Studios,Bethesda Softworks,windows,16,Single-player;Steam Cloud,RPG,RPG;Post-apocalyptic;Classic,0,4758,321,86,77,1000000-2000000,7.99
38420,Fallout Tactics: Brotherhood of Steel,2009-08-19,1,14° East,Bethesda Softworks,windows,16,Single-player;Multi-player;Steam Cloud,Strategy,Post-apocalyptic;Strategy;RPG,0,847,210,16,14,500000-1000000,7.99
39110,SEASON OF MYSTERY: The Cherry Blossom Murders,2010-02-03,1,SQUARE ENIX,Square Enix,windows,0,Single-player;Steam Achievements,Casual,Casual;Hidden Object;Adventure,15,156,44,0,0,50000-100000,2.99
39140,FINAL FANTASY VII,2013-07-04,1,Square Enix,Square Enix,windows,12,Single-player;Steam Achievements;Partial Controller Support,RPG,JRPG;RPG;Classic,36,11722,878,2443,2805,1000000-2000000,9.99
39150,FINAL FANTASY VIII,2013-12-05,1,Square Enix,Square Enix,windows,16,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,RPG,JRPG;RPG;Classic,45,5323,682,2145,2470,500000-1000000,9.99
39190,Dungeon Siege,2011-04-05,1,Gas Powered Games,Square Enix,windows,0,Single-player,RPG,RPG;Fantasy;Action RPG,0,1179,397,228,347,200000-500000,4.99
39200,Dungeon Siege II,2005-08-16,1,Gas Powered Games,Square Enix,windows,0,Single-player,RPG,RPG;Fantasy;Action RPG,0,813,343,754,1502,500000-1000000,4.99
39210,FINAL FANTASY XIV Online,2014-02-18,1,Square Enix,Square Enix,windows,16,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support,Massively Multiplayer;RPG,MMORPG;Massively Multiplayer;RPG,0,9808,2107,28897,9324,1000000-2000000,9.99
40100,Supreme Commander 2,2010-03-01,1,Gas Powered Games,Square Enix,windows,0,Single-player;Multi-player;Steam Achievements;Stats;Steam Leaderboards,Strategy,Strategy;RTS;Sci-fi,47,5336,903,1834,2894,1000000-2000000,8.99
42670,Singularity™,2010-06-30,1,Raven Software,Activision,windows,18,Single-player;Multi-player,Action,FPS;Action;Sci-fi,0,2766,227,148,148,100000-200000,14.99
42700,Call of Duty®: Black Ops,2010-11-08,1,Treyarch,Activision,windows,18,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Valve Anti-Cheat enabled,Action,Action;FPS;Zombies,68,14201,1839,2672,517,2000000-5000000,29.99
43000,Front Mission Evolved,2010-10-07,1,Double Helix Games,Square Enix,windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action,Mechs;Action;Shooter,27,481,310,312,312,200000-500000,7.99
45700,Devil May Cry 4,2009-12-22,1,Capcom,Capcom,windows,0,Single-player;Full controller support,Action;Adventure,Action;Hack and Slash;Character Action Game,0,1620,144,789,946,200000-500000,15.99
45710,Dark Void™,2010-01-22,1,Airtight Games,Capcom,windows,0,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Third-Person Shooter,0,218,230,143,143,50000-100000,6.49
45720,Lost Planet: Extreme Condition Colonies Edition,2010-02-11,1,"CAPCOM CO., LTD.",Capcom,windows,0,Single-player;Multi-player;Cross-Platform Multiplayer;Partial Controller Support,Action;Adventure,Action;Adventure;Third-Person Shooter,0,134,95,65,109,50000-100000,12.99
45730,Dark Void™ Zero,2010-04-12,1,Other Ocean Interactive,Capcom,windows,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Adventure,Action;Adventure;Platformer,30,130,139,0,0,20000-50000,2.99
45740,Dead Rising® 2,2010-09-27,1,Capcom Vancouver,Capcom,windows,18,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure,Zombies;Action;Open World,50,2713,934,1108,993,500000-1000000,14.99
45750,Lost Planet® 2,2010-10-15,1,"CAPCOM CO., LTD.",Capcom,windows,0,Single-player;Multi-player;Co-op;Partial Controller Support,Action;Adventure,Action;Co-op;Third-Person Shooter,0,998,504,879,879,100000-200000,12.99
45760,Ultra Street Fighter® IV,2014-08-07,1,Capcom,Capcom,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Fighting;Arcade;Competitive,67,8247,1141,835,1056,500000-1000000,22.99
45770,Dead Rising 2: Off the Record,2011-10-11,1,Capcom Vancouver,Capcom,windows,18,Single-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure,Action;Zombies;Open World,50,1387,376,435,621,200000-500000,14.99
47700,Command & Conquer 4: Tiberian Twilight,2010-03-18,1,EA Los Angeles,Electronic Arts,windows,0,Single-player;Multi-player,Strategy,Strategy;RTS;Multiplayer,0,378,1712,160,267,200000-500000,9.99
47730,Dragon Age™: Origins Awakening,2010-03-18,1,BioWare,Electronic Arts,windows,0,Single-player,RPG,RPG;Fantasy;Multiple Endings,0,92,7,0,0,100000-200000,9.99
47780,Dead Space™ 2,2011-01-27,1,Visceral Games,Electronic Arts,windows,0,Single-player;Multi-player;Partial Controller Support,Action,Horror;Action;Sci-fi,0,8943,493,292,272,1000000-2000000,14.99
47790,Medal of Honor™,2010-10-12,1,Electronic Arts,Electronic Arts,windows,0,Single-player;Multi-player,Action,FPS;Action;Shooter,0,3209,1370,133,166,1000000-2000000,14.99
47800,RISK™: Factions,2011-03-08,1,Stainless Games,Electronic Arts,windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Strategy,Strategy;Board Game;Multiplayer,12,405,214,979,1754,50000-100000,7.99
47810,Dragon Age: Origins - Ultimate Edition,2010-10-29,1,BioWare,Electronic Arts,windows,0,Single-player,RPG,RPG;Fantasy;Story Rich,0,8808,726,686,464,1000000-2000000,19.99
47870,Need For Speed: Hot Pursuit,2010-12-14,1,Criterion Games,Electronic Arts,windows,0,Single-player;Multi-player,Racing,Racing;Multiplayer;Open World,0,11405,2775,467,415,1000000-2000000,14.99
